ISO;Score;Rank;Political Context;Rank_Pol;Economic Context;Rank_Eco;Legal Context;Rank_Leg;Social Context;Rank_Soc;Safety;Rank_Saf;Zone;Country_FR;Country_EN;Country_ES;Country_PT;Country_AR;Country_FA;Year (N);Rank N-1;Rank evolution;Score N-1;Score evolution
AND;75,05;37;74,69;31;55,39;49;77,12;42;75,28;62;92,78;10;UE Balkans;Andorre;Andorra;Andorra;Andorra ;أندورا;آندور;2023;53;16;68,79;6,26
MKD;74,35;38;72,33;36;54,95;53;84,99;10;78,2;50;81,27;64;UE Balkans;Macédoine;North Macedonia;República de Macedonia del Norte;Macedônia do Norte ;مقدونيا الشمالية;مقدونیه شمالی ;2023;57;19;68,44;5,91
MNE;74,28;39;72,13;37;58,04;42;81,51;23;76,48;54;83,25;50;UE Balkans;Monténégro;Montenegro;Montenegro;Montenegro ;الجبل الأسود;مونته‌نگرو;2023;63;24;66,54;7,74
ARG;73,36;40;75,25;30;49,8;71;90,66;2;76,82;53;74,27;86;Amériques;Argentine;Argentina;Argentina;Argentina ;الأرجنتين;آرژانتین;2023;29;-11;77,28;-3,92
ITA;72,05;41;64,2;52;55,04;51;80,32;27;73,86;68;86,83;35;UE Balkans;Italie;Italy;Italia;Itália ;إيطاليا;ایتالیا;2023;58;17;68,16;3,89
HRV;71,95;42;67,56;44;51,07;65;81,82;21;74,59;66;84,71;43;UE Balkans;Croatie;Croatia;Croacia;Croácia ;كرواتيا;کرواسی;2023;48;6;70,42;1,53
DOM;71,88;43;71,48;39;52,45;60;76,53;46;76,42;55;82,5;56;Amériques;République dominicaine;Dominican Republic;República Dominicana;República Dominicana ;جمهورية الدومينيكان;جمهوری دومینیک;2023;30;-13;76,9;-5,02
TON;71,29;44;70,31;42;56,86;46;60,38;95;75;63;93,89;9;Asie-Pacifique;Tonga;Tonga;Tonga;Tonga ;تونغا;تونگا;2023;49;5;69,74;1,55
USA;71,22;45;76,56;28;69,76;24;77,31;40;80;43;52,49;120;Amériques;États-Unis;United States;Estados Unidos;Estados Unidos ;الولايات المتحدة;ایالات متحده امریکا;2023;42;-3;72,74;-1,52
GMB;71,06;46;66,88;46;59,22;39;60,75;93;85;27;83,46;49;Afrique;Gambie;Gambia;Gambia;Gâmbia ;غامبيا;گامبیا;2023;50;4;69,25;1,81
KOR;70,83;47;63,51;54;55,81;48;70,03;60;77,53;52;87,26;34;Asie-Pacifique;Corée du Sud;South Korea;Corea del Sur;Coreia do Sul ;كوريا الجنوبية;کره جنوبی;2023;43;-4;72,11;-1,28
SUR;70,62;48;63,13;55;60,78;34;47,17;132;90,91;7;91,11;19;Amériques;Surinam;Suriname;Surinam;Suriname ;سورينام;سورینام;2023;52;4;68,95;1,67
ARM;70,61;49;63,75;53;48,53;76;73,82;48;82,95;32;83,98;46;EEAC;Arménie;Armenia;Armenia;Armênia ;أرمينيا;ارمنستان;2023;51;2;68,97;1,64
SVN;70,59;50;66,25;47;46,41;92;79,64;30;75,95;59;84,72;40;UE Balkans;Slovénie;Slovenia;Eslovenia;Eslovênia ;سلوفينيا;اسلوانی;2023;54;4;68,54;2,05
BLZ;70,49;51;61,98;62;53,92;54;68,11;66;79,55;46;88,89;27;Amériques;Bélize;Belize;Belice;Belize ;بليز;بلیز;2023;47;-4;70,67;-0,18
URY;70,33;52;62,73;58;55,08;50;78,73;34;74,9;65;80,2;66;Amériques;Uruguay;Uruguay;Uruguay;Uruguai ;أوروغواي;اروگويه;2023;44;-8;72,03;-1,7
ROU;69,04;53;59,65;68;49,24;73;71,86;53;81,44;36;83,03;51;UE Balkans;Roumanie;Romania;Rumania;Romênia ;رومانيا;رومانی;2023;56;3;68,46;0,58
CIV;68,83;54;66,98;45;58,01;43;71,07;54;76,33;56;71,79;90;Afrique;Côte d'Ivoire;Côte d'Ivoire;Costa de Marfil;Costa do Marfim ;ساحل العاج;ساحل عاج;2023;37;-17;74,46;-5,63
CYP;68,62;55;64,66;50;53,12;56;71,89;52;64,98;85;88,44;29;UE Balkans;Chypre;Cyprus;Chipre;Chipre ;قبرص;قبرس;2023;65;10;65,97;2,65
XKX;68,38;56;62,95;56;50,28;68;80,26;28;75,49;61;72,95;88;UE Balkans;Kosovo;Kosovo;Kosovo;Kosovo ;كوسوفو;کوسووو;2023;61;5;67;1,38
POL;67,66;57;50,15;112;55,02;52;69,03;64;78,28;49;85,82;37;UE Balkans;Pologne;Poland;Polonia;Polônia ;بولندا;لهستان;2023;66;9;65,64;2,02
BFA;67,64;58;62,81;57;58,33;41;67,45;69;81,25;38;75,55;83;Afrique;Burkina Faso;Burkina Faso;Burkina Faso;Burkina Faso ;بوركينا فاسو;بورکینافاسو;2023;41;-17;73,12;-5,48
PNG;67,62;59;59,58;69;51,31;64;66,35;74;71,97;72;88,89;27;Asie-Pacifique;Papouasie-Nouvelle-Guinée;Papua New Guinea;Papúa Nueva Guinea;Papua-Nova Guiné ;بابوا غينيا الجديدة;پاپوآ گینه نو;2023;62;3;66,66;0,96
GUY;67,5;60;54,69;93;58,82;40;59,43;100;79,83;45;84,72;40;Amériques;Guyana;Guyana;Guyana;Guiana ;غويانا;گیانا;2023;34;-26;76,41;-8,91
NER;66,84;61;62,68;60;41,6;118;69,54;62;74,03;67;86,35;36;Afrique;Niger;Niger;Niger;Níger ;النيجر;نیجر;2023;59;-2;67,8;-0,96
GHA;65,93;62;61,88;63;47,94;80;79,62;31;78,98;47;61,25;103;Afrique;Ghana;Ghana;Ghana;Gana ;غانا;غنا;2023;60;-2;67,43;-1,5
MUS;65,56;63;52,75;104;49,9;70;61,98;91;81,02;39;82,13;58;Afrique;Maurice;Mauritius;Mauricio;Maurício ;موريشيوس;موریس;2023;64;1;66,07;-0,51
BIH;65,43;64;55,27;90;45,1;100;77,54;38;71,02;73;78,24;76;UE Balkans;Bosnie-Herzégovine;Bosnia-Herzegovina;Bosnia-Herzegovina;Bósnia-Herzegóvina ;البوسنة والهرسك;بوسنی هرزوگوین;2023;67;3;65,64;-0,21
BWA;64,61;65;55,63;84;50,44;67;58,07;103;78,79;48;80,14;69;Afrique;Botswana;Botswana;Botsuana;Botsuana ;بوتسوانا;بوستاوانا;2023;95;30;58,49;6,12
LBR;64,34;66;55,5;86;39,61;127;76,98;43;80;43;69,62;94;Afrique;Libéria;Liberia;Liberia;Libéria ;ليبيريا;لیبریا;2023;75;9;62,77;1,57
LSO;64,29;67;64,38;51;44,85;104;55,97;112;68,47;76;87,78;30;Afrique;Lesotho;Lesotho;Lesoto;Lesoto ;ليسوتو;لسو‌تو;2023;88;21;59,39;4,9
JPN;63,95;68;55,75;83;56,32;47;66,39;73;59,32;105;81,99;60;Asie-Pacifique;Japon;Japan;Japón;Japão ;اليابان;ژاپن;2023;71;3;64,37;-0,42
PAN;63,67;69;57,5;77;51,63;62;64,47;80;64,77;86;80;70;Amériques;Panama;Panama;Panamá;Panamá ;بنما;پاناما;2023;74;5;62,78;0,89
TGO;63,06;70;54,5;95;46,86;89;60,19;96;69,32;74;84,45;44;Afrique;Togo;Togo;Togo;Togo ;توغو;توگو;2023;100;30;57,17;5,89
BGR;62,98;71;58,25;73;37,91;133;70,25;57;65,53;81;82,94;53;UE Balkans;Bulgarie;Bulgaria;Bulgaria;Bulgária ;بلغاريا;بلغارستان;2023;91;20;59,12;3,86
HUN;62,96;72;45,63;130;43,94;112;70,94;55;72,62;70;81,66;62;UE Balkans;Hongrie;Hungary;Hungría;Hungria ;المجر;مجارستان;2023;85;13;59,8;3,16
MYS;62,83;73;55,31;89;52,94;57;44,58;138;75,85;60;85,46;38;Asie-Pacifique;Malaisie;Malaysia;Malasia;Malásia ;ماليزيا;مالزی;2023;113;40;51,55;11,28
SLE;62,55;74;65,45;49;47,9;81;65,9;77;72,24;71;61,27;102;Afrique;Sierra Leone;Sierra Leone;Sierra Leona;Serra Leoa ;سيراليون;سئیرالئون;2023;46;-28;71,03;-8,48
COM;62,25;75;55,09;92;49,72;72;65,36;78;61,85;92;79,21;73;Afrique;Comores;Comoros;Comoras;Comores ;جزر القمر;کومور;2023;83;8;60,16;2,09
CTU;61,73;76;56,18;80;42,92;114;63,1;87;63,45;90;83,01;52;UE Balkans;Chypre du Nord;Northern Cyprus;Chipre del Norte;Chipre do Norte ;قبرص الشمالية;قبرس شمالی;2023;81;5;61,08;0,65
GEO;61,69;77;48,4;121;47,17;87;76;47;75;63;61,9;100;EEAC;Géorgie;Georgia;Georgia;Geórgia ;جورجيا;گرجستان;2023;89;12;59,3;2,39
GNB;61,57;78;56,09;81;51,72;61;70,05;59;65,06;84;64,95;98;Afrique;Guinée-Bissau;Guinea-Bissau;Guinea-Bisáu;Guiné-Bissau ;غينيا بيساو;گینه بیسائو;2023;92;14;58,79;2,78
UKR;61,19;79;60,63;65;63,48;30;80,66;26;80,4;40;20,78;179;EEAC;Ukraine;Ukraine;Ucrania;Ucrânia ;أوكرانيا;اوکراين;2023;106;27;55,76;5,43
ECU;60,51;80;60,52;66;61,6;33;70,13;58;61,55;93;48,76;128;Amériques;Équateur;Ecuador;Ecuador;Equador ;الإكوادور;اکواتور;2023;68;-12;64,61;-4,1
COG;60,42;81;57,58;76;45,71;97;62,15;90;58,52;108;78,17;77;Afrique;Congo-Brazzaville;Congo-Brazzaville; Congo-Brazzaville;Congo-Brazzaville ;الكونغو–برازافيل;کنگو برازاویل;2023;93;12;58,64;1,78
MWI;60,34;82;52,57;106;47,6;83;66,56;72;60,23;98;74,73;84;Afrique;Malawi;Malawi;Malaui;Malaui ;مالاوي;مالاوی;2023;80;-2;61,4;-1,06
CHL;60,09;83;70,8;41;47,48;84;65,09;79;65,58;80;51,49;124;Amériques;Chili;Chile;Chile;Chile ;تشيلي;شیلی;2023;82;-1;60,61;-0,52
MLT;59,76;84;46,46;128;44,77;105;57,23;108;66,04;79;84,31;45;UE Balkans;Malte;Malta;Malta;Malta ;مالطا;مالت;2023;78;-6;61,55;-1,79
GIN;59,51;85;60;67;46,08;93;62,85;88;60,09;99;68,55;95;Afrique;Guinée;Guinea;Guinea;Guiné ;غينيا;گینه;2023;84;-1;59,82;-0,31
MRT;59,45;86;54,06;96;47,06;88;57,55;105;60,8;96;77,78;78;Afrique;Mauritanie;Mauritania;Mauritania;Mauritânia ;موريتانيا;موریتانی;2023;97;11;58,1;1,35
ZMB;59,41;87;61,77;64;38,89;130;56,76;109;58,14;111;81,46;63;Afrique;Zambie;Zambia;Zambia;Zâmbia ;زامبيا;زامبیا;2023;109;22;55,4;4,01
MNG;59,33;88;54,66;94;38,95;129;59,61;99;63,95;87;79,49;71;Asie-Pacifique;Mongolie;Mongolia;Mongolia;Mongólia ;منغوليا;مغولستان;2023;90;2;59,17;0,16
FJI;59,27;89;53,13;102;45,1;100;55,97;112;62,88;91;79,26;72;Asie-Pacifique;Fidji;Fiji;Fiyi;Ilhas Fiji ;فيجي;فیجی;2023;102;13;56,91;2,36
BTN;59,25;90;62,08;61;50,49;66;46,54;134;49,51;136;87,62;31;Asie-Pacifique;Bhoutan;Bhutan;Bután;Butão ;بوتان;بوتان;2023;33;-57;76,46;-17,21
SRB;59,16;91;45,27;133;39,15;128;77,18;41;59,87;103;74,31;85;UE Balkans;Serbie;Serbia;Serbia;Sérvia ;صربيا;صربستان;2023;79;-12;61,51;-2,35
BRA;58,67;92;55,79;82;52,59;59;72,44;51;76,22;57;36,3;149;Amériques;Brésil;Brazil;Brasil;Brasil ;البرازيل;برزیل;2023;110;18;55,36;3,31
CSS;58,36;93;55,47;87;45,34;99;54,01;119;59,94;101;77,04;80;Amériques;OÉCO;OECS;OECO;OECO;الكاريبي;جزایر کارائیب شرقی;2023;55;-38;68,49;-10,13
GAB;58,12;94;48,33;122;46,57;90;57,39;106;58,14;111;80,17;68;Afrique;Gabon;Gabon;República Gabonesa;Gabão ;الغابون;گابون;2023;105;11;56;2,12
NPL;57,89;95;58,44;72;44,61;106;66,27;76;61,08;95;59,04;106;Asie-Pacifique;Népal;Nepal;Nepal;Nepal ;نيبال;نپال;2023;76;-19;62,67;-4,78
ALB;57,86;96;47,76;124;35,13;148;67,61;68;68,37;77;70,45;93;UE Balkans;Albanie;Albania;Albania;Albânia ;ألبانيا;آلبانی;2023;103;7;56,41;1,45
